Area,Year,Export Quantity,Import Quantity,Production
Africa,2019,51067.79,157214.6,1084484.8
Americas,2019,596541.0,246179.96,3100766.27
Asia,2019,330765.31,643694.15,5707520.58
Australia and New Zealand,2019,47714.66,9133.75,135648.3
Caribbean,2019,2673.06,12855.710000000001,51374.82
Central America,2019,48049.15,58184.479999999996,301446.03
Central Asia,2019,17228.5,12695.24,108900.13
Eastern Africa,2019,9946.69,23883.48,276182.83999999997
Eastern Asia,2019,55241.96,302988.87,2245783.5700000003
Eastern Europe,2019,225988.87,72927.47,787815.92
Europe,2019,585538.9,486436.64,1709633.03
Melanesia,2019,1755.96,1714.8799999999999,14824.49
Micronesia,2019,197.08,70.81,676.47
Middle Africa,2019,922.12,10180.85,130574.17
Northern Africa,2019,15330.6,72049.91,214644.71000000002
Northern America,2019,247653.71,108779.2,1043180.21
Northern Europe,2019,61889.31,77321.3,185767.56
Oceania,2019,49699.34,11181.72,151475.88
Polynesia,2019,31.630000000000003,261.27,325.61
South America,2019,298163.08,66357.57,1704763.2
South-eastern Asia,2019,166926.08000000002,116786.66,1264983.24
Southern Africa,2019,13273.11,12151.92,75344.82
Southern Asia,2019,53307.75,86021.44,1845918.67
Southern Europe,2019,86604.87,119595.47,259102.7
Western Africa,2019,11600.27,38950.44,387735.26
Western Asia,2019,38055.03,125201.95000000001,241934.97
Western Europe,2019,211058.84,216589.4,476944.85
World,2019,1613614.3399999999,1544704.0699999998,11753876.56
